[2025-05-25 09:50:18,318] [INFO] Recognition thread started.
[2025-05-25 09:50:54,008] [INFO] Recognition thread started.
[2025-05-25 09:53:20,567] [INFO] Recognition thread started.
[2025-05-25 10:06:34,780] [INFO] Recognition thread started.
[2025-05-25 10:06:37,195] [INFO] Model Load.
[2025-05-25 10:09:49,077] [INFO] Recognition thread started.
[2025-05-25 10:09:51,859] [INFO] Model Load.
[2025-05-25 10:10:30,663] [INFO] ✅ Loaded 1 embeddings from 1 persons
[2025-05-25 10:10:30,665] [INFO] Recognition thread started.
[2025-05-25 10:10:32,217] [INFO] Model Load.
[2025-05-25 10:56:11,549] [INFO] Loaded 1 embeddings from 1 persons
[2025-05-25 10:56:11,550] [INFO] Recognition thread started.
[2025-05-25 10:56:40,790] [INFO] Model Load.
[2025-05-25 11:18:53,313] [INFO] Client disconnected, releasing camera.
[2025-05-25 11:26:20,247] [INFO] Client disconnected, releasing camera.
[2025-05-25 11:46:21,703] [INFO] Loaded 1 embeddings from 1 persons
[2025-05-25 11:46:21,704] [INFO] Recognition thread started.
[2025-05-25 11:46:35,519] [INFO] Model Load.
[2025-05-25 11:46:39,515] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:39,611] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:39,690] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:39,764] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:39,840] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:39,935] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,002] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,073] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,157] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,241] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,316] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,396] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,474] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,562] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,630] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,697] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,790] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:40,865] [ERROR] Error Insert to DB read of closed file
